name,state_code,status,target_failure,funding_rounds,funding_total_usd,milestones,relationships,is_top500,has_VC,has_roundA,has_roundB,age_first_funding_year,age_last_funding_year,pred_failure_prob_rf,risk_bucket_rf
BridgePort Networks,IL,acquired,0,1,13000000,1,3,1,0,0,0,4.8411,4.8411,0.28991832569759457,Low
Scalent Systems,CA,acquired,0,1,15000000,1,7,1,0,0,0,4.0603,4.0603,0.16361500334533338,Low
IQ Engines,CA,acquired,0,1,3800000,3,2,1,0,0,1,4.0685,4.0685,0.41148842884405984,Medium
"RetailMeNot, Inc.",TX,acquired,0,5,299500000,2,37,1,1,1,0,2.5068,4.5315,0.22638908521783316,Low
Mophie,CA,acquired,0,1,1000000,3,5,1,1,0,0,1.189,1.189,0.22209999430923494,Low
Airship Ventures,CA,closed,1,2,10500000,1,3,1,0,1,1,1.3534,2.1644,0.23173130243400683,Low
Lockdown Networks,WA,acquired,0,2,8600000,1,6,1,1,0,1,4.1534,5.1671,0.23786398415507884,Low
eMinor,NC,closed,1,2,5000000,0,9,1,0,1,1,-0.1671,2.0192,0.5632301855157116,Medium
Karma,CA,acquired,0,2,2304999,2,3,1,1,0,0,0.0,0.8685,0.4477394263648203,Medium
Zipano,PA,closed,1,1,25000,0,2,0,0,0,0,0.0822,0.0822,0.935378177280537,High
Entertainment Media Works,NY,closed,1,1,4000000,1,1,1,0,0,1,2.6575,2.6575,0.6809529443962807,High
Elastra,CA,closed,1,2,14600000,3,8,1,0,1,1,0.6192,1.5945,0.314710990688206,Low
RPO,CA,closed,1,3,44000000,0,0,1,0,0,1,1.063,5.7014,0.6852728003534716,High
Fotomoto,CA,acquired,0,3,1822922,3,10,1,0,1,0,0.1671,2.6493,0.09418989192828513,Low
Peer39,NY,acquired,0,7,29915001,5,18,1,1,1,1,0.0,5.9041,0.1278891723225634,Low
Vitrue,GA,acquired,0,4,33000000,5,26,1,0,1,1,0.0,4.8027,0.13227633256075927,Low
Trendslide,NH,acquired,0,2,125000,2,9,0,0,0,0,0.0,0.5836,0.4052715692711464,Medium
PublicEarth,CA,closed,1,2,4000000,2,7,1,1,1,0,0.1041,2.3863,0.46610750256499567,Medium
Azaleos,WA,acquired,0,1,10000000,3,10,1,0,0,0,3.4904,3.4904,0.11222457221241666,Low
Efficient Frontier,CA,acquired,0,1,6000000,4,25,1,0,0,0,4.6658,4.6658,0.11164624503555423,Low
NetDevices,CA,acquired,0,1,25000000,0,4,1,0,0,1,2.6247,2.6247,0.4469106981215267,Medium
Go Try It On,NY,acquired,0,3,3750000,3,2,1,0,1,0,0.926,2.9534,0.478004295259739,Medium
Performable,MA,acquired,0,1,3000000,2,9,1,0,1,0,0.2466,0.2466,0.2209985933837029,Low
Appstores.com,CA,acquired,0,2,1155000,2,6,1,0,0,0,0.189,1.189,0.18482424470785205,Low
Fortify Software,CA,acquired,0,1,10000000,2,11,1,0,0,0,3.2082,3.2082,0.12221853558039827,Low
iCurrent,CA,acquired,0,1,3000000,1,5,1,0,1,0,2.5836,2.5836,0.31541331985392995,Low
AisleBuyer,MA,acquired,0,2,11500000,3,4,1,0,0,0,1.8932,2.4466,0.12238811366720495,Low
Indeed,TX,acquired,0,1,5000000,5,12,1,0,1,0,0.7479,0.7479,0.4672407776920675,Medium
Colubris Networks,MA,acquired,0,2,29000000,1,9,1,1,0,0,5.1863,6.8137,0.1313700312011923,Low
Mashery,CA,acquired,0,6,34700000,4,37,1,1,1,1,0.6712,6.2329,0.12856349294974906,Low
Transparency Software,CA,closed,1,2,12050000,0,0,1,1,1,0,1.1863,3.4986,0.6903909070428446,High
Viewdle,CA,acquired,0,3,12000000,2,13,1,1,1,1,2.1644,4.7616,0.09261089963535518,Low
Enclarity,CA,acquired,0,1,5500000,1,18,1,0,0,0,4.1041,4.1041,0.15423163225509887,Low
Virsto Software,CA,acquired,0,3,24000000,4,10,1,0,1,1,1.989,4.1534,0.08592794421567437,Low
Handmark,MO,acquired,0,2,10000000,2,6,1,0,1,1,5.2027,6.189,0.1677953950458884,Low
Viacor,MA,closed,1,3,19009671,1,10,1,0,0,1,2.7836,10.9507,0.24238892703334988,Low
Carbonetworks,CA,closed,1,1,5000000,1,6,1,0,1,0,3.4986,3.4986,0.39034892864433296,Medium
SchemaLogic,WA,acquired,0,5,18914576,1,2,1,1,0,0,4.0466,9.3041,0.490657089302611,Medium
Skyway Software,FL,closed,1,1,4000000,0,0,0,1,0,0,6.3726,6.3726,0.8227981002018455,High
CardStar,MA,acquired,0,3,2030882,2,5,1,0,1,0,1.3259999999999998,2.7836,0.10209436253694935,Low
Makani Power,CA,acquired,0,1,5000000,2,4,1,0,0,1,2.6438,2.6438,0.2501632759824123,Low
Myrio,WA,closed,1,1,20500000,0,5,1,1,0,0,1.0877,1.0877,0.5938949560144052,Medium
Intela,CO,acquired,0,2,13250000,4,4,0,1,0,0,3.9616,6.5205,0.21500355687764322,Low
Sana Security,CA,acquired,0,1,12000000,1,7,1,0,0,0,7.2548,7.2548,0.22441299647951884,Low
Sportgenic,CA,acquired,0,3,11489687,2,9,1,0,1,1,1.3342,3.0247,0.07069727080773767,Low
Lolapps,CA,acquired,0,1,4000000,3,15,1,0,1,0,0.6795,0.6795,0.26676968544676927,Low
Behavio,CA,acquired,0,1,355000,1,3,0,0,0,0,-0.0301,-0.0301,0.6977877359738911,High
Infinity Box,FL,acquired,0,2,118000,3,10,1,0,0,0,0.0,0.2466,0.28304879274336464,Low
adBrite,CA,acquired,0,4,40400000,3,17,1,0,1,1,1.6685,9.337,0.09803990825104994,Low
Texert,TX,closed,1,1,3000000,0,1,1,0,1,0,1.8055,1.8055,0.8658798070558023,High
Mendocino Software,CA,closed,1,2,19700000,1,2,1,1,0,1,2.6986,4.0027,0.5640302171681151,Medium
QuikCycle,CA,closed,1,2,17800000,0,0,1,1,0,0,9.1671,9.1973,0.8215667183615823,High
Instagram,CA,acquired,0,3,57500000,3,12,1,0,1,1,0.011,2.0986,0.11025097693678959,Low
Motionbox,NY,acquired,0,3,17200000,5,10,1,0,1,1,0.6658,3.0384,0.06955257877714209,Low
AccelGolf,MA,closed,1,7,457282,2,4,1,1,0,0,-0.5836,1.3425,0.5765134271643583,Medium
MoPub,CA,acquired,0,4,18500000,3,11,1,0,1,1,-0.0219,2.0329,0.06038167236046578,Low
DNP Green Technology,NJ,closed,1,1,12000000,0,2,1,0,1,0,2.0466,2.0466,0.678257149566044,High
Abound Solar,CO,closed,1,2,510000000,3,5,1,1,0,0,3.5123,3.9562,0.2551066096028993,Low
Trovix,CA,acquired,0,2,18250000,1,3,1,0,1,1,3.9342,4.6822,0.15921287285064037,Low
Thumbplay,NY,acquired,0,4,41500019,5,13,1,0,0,0,2.1616,5.6384,0.11748196025384178,Low
Plethora Technology,WV,closed,1,1,1000000,0,1,0,0,1,0,5.4411,5.4411,0.8761500959706634,High
DailyStrength,CA,acquired,0,1,5000000,2,7,1,0,1,0,1.1288,1.1288,0.27336352296084454,Low
Danotek Motion Technologies,MI,closed,1,3,42700000,1,2,1,1,0,1,7.8877,10.6658,0.8065154826644435,High
Yub,CA,closed,1,1,12000000,0,7,1,1,0,0,0.8822,0.8822,0.6188749431902054,Medium
SNAPin Software,WA,acquired,0,2,22300000,2,5,1,0,0,1,2.526,3.1041,0.18445496313644688,Low
Azuro,CA,acquired,0,2,10000000,1,5,1,1,0,1,4.0027,7.8712,0.2432597729888468,Low
ARPU,DC,closed,1,3,15564591,0,1,1,1,0,1,1.1671,4.6658,0.5760800384103997,Medium
BookFresh,CA,acquired,0,1,500000,2,7,1,0,0,0,2.5726,2.5726,0.2277666860428294,Low
Singly,CA,acquired,0,2,8950000,2,24,1,0,1,0,0.1151,1.3397,0.08346158649617128,Low
TxVia,NY,acquired,0,4,55350000,2,8,1,0,1,1,1.7479,4.8192,0.2569314825930565,Low
Blue Vector Systems,CA,closed,1,1,4000000,0,1,1,0,0,1,3.7233,3.7233,0.8192735205164576,High
Open Kernel Labs,IL,acquired,0,5,10764323,3,3,1,1,1,0,1.6986,6.5151,0.3698300051745368,Medium
Elanti Systems,NJ,closed,1,1,5500000,1,1,1,1,0,0,1.4082,1.4082,0.7564402700217511,High
Astrid,CA,acquired,0,1,400000,2,7,1,0,0,0,4.2849,4.2849,0.19790105850788395,Low
Nordic Windpower,CA,closed,1,3,54000000,0,3,1,1,0,0,0.7507,3.0137,0.6218395664979183,Medium
Visiprise,GA,closed,1,1,32000000,0,2,1,0,0,1,20.8055,20.8055,0.8196123107195392,High
Hubspan,WA,acquired,0,1,13000000,0,1,1,0,0,0,5.789,5.789,0.522859334754281,Medium
iConclude,WA,acquired,0,3,12500000,0,5,1,1,1,1,0.0849,1.2712,0.2886367543230865,Low
41st Parameter,CA,acquired,0,4,38064570,2,16,1,1,0,1,2.3507,8.2822,0.10772118523760009,Low
Aardvark,CA,acquired,0,2,6000000,2,21,1,0,1,0,-0.4959,1.2548,0.091717705582299,Low
Hotelicopter,VA,closed,1,2,5000000,6,4,0,0,1,1,2.4658,4.8329,0.4364653502394641,Medium
Anystream,VA,acquired,0,3,59000000,3,9,1,1,0,0,0.0,7.1068,0.14561731401241873,Low
CakeStyle,IL,closed,1,1,1000000,2,2,0,0,0,0,1.0356,1.0356,0.7431708013413355,High
Fluther,CA,acquired,0,1,600000,3,5,1,0,0,0,2.7233,2.7233,0.20866815453692655,Low
Pocket Communications Northeast,CT,closed,1,2,125000000,2,0,1,0,1,1,2.8356,3.1397,0.6129278314087329,Medium
Goodreads,CA,acquired,0,2,2750000,3,11,1,0,1,0,0.7945,2.9014,0.07849749340163864,Low
Woven Systems,CA,acquired,0,2,30000000,0,1,1,0,1,1,2.9178,4.7342,0.577861351611044,Medium
Kolorific,CA,closed,1,1,7000000,0,0,0,0,0,0,4.0137,4.0137,0.8454890393536649,High
Krugle,CA,acquired,0,1,6100000,2,10,1,0,0,1,0.411,0.411,0.22800386146722937,Low
Flud,CA,closed,1,3,2100000,2,12,1,1,0,0,0.5315,1.9205,0.31964384828139086,Low
Chomp,CA,acquired,0,2,2565000,3,10,1,0,1,0,0.1452,0.5014,0.10666736520379556,Low
Origen Therapeutics,CA,closed,1,1,2000000,0,0,0,0,0,0,10.7589,10.7589,0.9110252455698428,High
Inlet Technologies,NC,acquired,0,3,22400000,1,3,1,1,0,1,2.5671,5.6904,0.3074691076433862,Low
ShopWiki,NY,acquired,0,1,6250000,1,12,0,0,1,0,1.0822,1.0822,0.2438216069720888,Low
Fondu,NY,acquired,0,1,575000,2,4,0,0,0,0,1.7479,1.7479,0.32310625077910227,Low
Loudcaster,MA,closed,1,2,53000,1,1,1,0,0,0,0.0,0.5808,0.6531522434291768,Medium
TwoFish,CA,acquired,0,2,9500000,2,6,1,0,1,1,0.9151,2.7753,0.1065984659371759,Low
Workstreamer,TX,closed,1,2,3500000,2,7,1,0,1,0,-0.7479,0.8192,0.609819717185541,Medium
Qwiki,NY,acquired,0,3,10500000,3,14,1,1,1,0,0.7726,1.4959,0.11595842625210241,Low
Redwood Systems,CA,acquired,0,4,34250000,2,14,1,1,1,1,0.7562,4.4137,0.06356607780811033,Low
Artisan Pharma,MA,acquired,0,5,85381111,0,2,1,0,1,1,0.6795,4.5507,0.4620819503562784,Medium
Bill Me Later,MD,acquired,0,3,100000000,3,6,1,1,1,0,6.1671,7.9205,0.23694108261525537,Low
Bueda,PA,closed,1,2,125000,2,3,1,1,0,0,-1.011,1.4877,0.7506998079762252,High
Defywire,VA,closed,1,2,10600000,1,2,1,1,0,1,2.3178,4.2356,0.5183481362191917,Medium
Silicon Clocks,CA,acquired,0,3,26100000,1,2,1,1,0,1,2.4192,5.4384,0.3910591495188784,Medium
TheMarkets,NY,acquired,0,1,30000000,1,2,1,1,0,0,7.5315,7.5315,0.39408970775434443,Medium
Netgamix Inc,IL,closed,1,3,132885,2,6,1,0,0,0,1.0575,1.7699,0.5273809901801911,Medium
Sentrigo,CA,acquired,0,3,9500000,2,9,1,0,1,1,0.6,4.2247,0.06409375038156007,Low
Netli,CA,acquired,0,1,18000000,1,9,1,1,0,0,6.1233,6.1233,0.15316123094029593,Low
Define My Style,OH,closed,1,1,690000,1,4,1,0,0,0,1.8329,1.8329,0.571538298982174,Medium
Firethorn,GA,acquired,0,3,25131611,0,1,1,1,0,1,5.1644,6.0055,0.4469494156153262,Medium
Wellcore,CA,closed,1,1,2000000,0,1,1,0,0,0,3.5288,3.5288,0.8194427004680737,High
Taligen Therapeutics,MA,acquired,0,3,78750000,2,4,1,0,1,1,1.5836,6.6466,0.20999536147093836,Low
Adap.tv,CA,acquired,0,5,48500000,3,27,1,1,1,1,0.2521,4.4055,0.13938468097189113,Low
Current Media,CA,closed,1,1,15000000,2,12,0,0,1,0,0.5726,0.5726,0.562108886580763,Medium
ParAccel,CA,acquired,0,5,74000000,0,13,1,1,0,1,0.9397,5.3178,0.2838021093480077,Low
Arch Rock Corporation,CA,acquired,0,2,15000000,1,6,1,0,1,1,0.7479,2.3315,0.11389206463916626,Low
SpiralFrog,NY,closed,1,3,45000000,3,8,0,0,1,0,2.0027,3.9178,0.45009114068346584,Medium
Plusmo,CA,acquired,0,1,4410000,1,4,1,0,1,0,1.9178,1.9178,0.34412746123264676,Medium
ZipList,VA,acquired,0,2,4500000,2,9,1,0,1,1,0.0,0.8959,0.1591650262406874,Low
Involver,CA,acquired,0,3,11040000,2,11,1,0,1,1,1.6712,3.7863,0.06065115725226958,Low
Lionside,CA,acquired,0,1,1600000,2,6,1,0,1,0,1.8822,1.8822,0.2227346806611431,Low
Game Trust,NY,acquired,0,2,9000000,1,3,1,1,0,1,3.4164,3.874,0.37209885493577505,Medium
Nearbuy Systems,CA,acquired,0,3,3282327,2,4,1,1,0,0,1.3041,2.6493,0.20911361996876812,Low
Visible Path,CA,acquired,0,2,24700000,5,5,1,0,1,1,4.1644,4.1644,0.1482101933449775,Low
VT Silicon,GA,closed,1,2,8800000,0,2,1,1,1,0,5.6986,6.8877,0.7386379617626249,High
GetBack,CA,closed,1,1,1700000,1,1,0,0,1,0,1.1836,1.1836,0.7834146206657033,High
Slipstream,CA,closed,1,1,20000,2,1,0,0,0,0,0.2493,0.2493,0.8524913268056785,High
HipLogic,CA,acquired,0,2,11500000,5,10,1,0,1,1,3.1041,4.9205,0.13172117656239304,Low
Dilithium Networks,CA,closed,1,7,98170000,3,12,1,1,0,1,2.3068,9.4247,0.4039960100313827,Medium
Yobongo,CA,acquired,0,1,1350000,3,2,1,0,0,0,1.2219,1.2219,0.5678205490001248,Medium
Brickfish,IL,acquired,0,1,940261,2,17,1,0,1,0,4.7068,4.7068,0.32187144914985166,Low
MyEnergy,MA,acquired,0,2,4000000,3,12,1,0,1,0,1.6658,3.6712,0.08599966207149826,Low
LikeList,CA,closed,1,1,5000000,1,5,0,0,1,0,1.9562,1.9562,0.49680378502610417,Medium
Social Collective,VA,closed,1,1,20000,1,3,0,0,0,0,0.0027,0.0027,0.8766106180163578,High
Pure Networks,WA,acquired,0,1,12500000,1,5,1,0,0,1,4.0301,4.0301,0.2008137511613115,Low
Internet Pawn,CO,closed,1,5,7228704,2,0,1,1,1,0,1.3397,4.6548,0.6561701750727937,Medium
NeuroTherapeutics Pharma,IL,closed,1,2,55000000,1,5,1,1,0,1,4.3836,5.9562,0.2603351734049325,Low
Provade,CA,acquired,0,4,15180000,0,5,1,1,1,0,2.063,6.6137,0.2717469247286241,Low
Infineta Systems,CA,closed,1,2,30000000,2,4,1,0,1,1,2.3479,3.4301,0.41488488395799467,Medium
Challenge Games,TX,acquired,0,2,14500000,3,11,1,0,1,1,2.5233,2.6685,0.1830975889935374,Low
Crowd Factory,CA,acquired,0,1,6500000,3,6,1,1,0,0,2.0685,2.0685,0.22158668959166733,Low
Friendsignia,TN,closed,1,1,15000,1,2,0,0,0,0,0.0,0.0,0.9325002066482453,High
Vizibility,NY,acquired,0,5,4705910,3,5,1,1,0,0,0.7288,3.6055,0.3013046028308088,Low
OpenFeint,CA,acquired,0,1,3000000,2,6,1,1,0,0,2.8055,2.8055,0.1922434620842376,Low
Tumblr,NY,acquired,0,6,125250000,5,30,1,1,1,1,0.7452,4.9178,0.0891735245794745,Low
Hotlist,NY,closed,1,4,1449998,3,8,1,1,0,0,0.3315,4.0027,0.41756117059655457,Medium
Crashlytics,MA,acquired,0,2,6000000,3,5,1,0,1,0,0.6959,1.189,0.1063883262155494,Low
BridgePoint Medical,MN,acquired,0,3,28200000,0,7,1,1,0,1,2.0603,6.2301,0.2499361179679847,Low
Recurve,CA,acquired,0,2,14000000,1,5,1,1,1,0,3.1479,4.8795,0.20564237589730533,Low
Conformity,TX,closed,1,1,3000000,2,14,0,0,1,0,1.5808,1.5808,0.5323720984317157,Medium
Moprise,WA,closed,1,2,2238055,1,6,1,1,0,0,1.5151,1.7644,0.45467928976285654,Medium
Plizy,CA,closed,1,2,5200000,2,5,1,1,1,0,0.7123,2.2849,0.47797321667690396,Medium
ShopRunner,PA,acquired,0,1,75000000,4,4,0,1,0,0,3.6329,3.6329,0.31966986876986636,Low
RatePoint,MA,closed,1,4,24500000,4,13,1,0,1,1,0.411,3.9699,0.2532998620133554,Low
Digital Performance,CA,closed,1,3,4476171,0,3,1,1,1,0,4.9068,8.1014,0.7150341121091567,High
Gowalla,TX,acquired,0,3,10400001,3,21,1,0,1,1,0.5014,2.4219,0.16065926892043011,Low
Copan Systems,CO,acquired,0,3,68400000,1,8,1,1,0,0,4.1836,7.1342,0.1488991310193091,Low
Replay Solutions,CA,acquired,0,2,15200000,0,13,1,0,1,1,2.9288,4.6329,0.2017931241592098,Low
Turf Geography Club,NY,closed,1,2,890000,0,2,1,0,0,0,0.6192,1.5863,0.8046457865209666,High
skyrockit,CA,closed,1,1,2600000,0,0,1,1,0,0,10.5315,10.5315,0.905906185773009,High
Cartavi,IL,acquired,0,1,1226270,2,7,1,0,0,0,3.8685,3.8685,0.21998052930096734,Low
Cramster,CA,acquired,0,2,9000000,1,5,0,0,1,1,6.737,8.2877,0.22094973798833772,Low
Certify Data Systems,CA,acquired,0,4,7210210,1,4,0,1,1,1,4.6521,8.1288,0.2414575157445629,Low
Wheelz,CA,acquired,0,2,15700000,1,15,1,0,1,0,0.7397,1.1425,0.09853364724037184,Low
CentrePath,MA,acquired,0,2,15050000,1,4,1,1,0,0,5.6849,6.3151,0.1624865411151889,Low
VoxPop Network Corporation,CA,acquired,0,2,3500000,2,5,1,0,1,1,0.7479,2.7507,0.13466549613623524,Low
OpVista,CA,closed,1,2,43000000,1,2,1,0,0,0,6.4767,7.3507,0.5622122518627687,Medium
Metaweb Technologies,CA,acquired,0,2,57000000,2,7,1,0,1,1,1.1616,3.0384,0.20851347225509473,Low
DocVerse,CA,acquired,0,1,1300000,4,8,1,0,0,0,0.8932,0.8932,0.1584546501977382,Low
Veoh,CA,acquired,0,4,69750000,4,15,1,0,1,1,1.4986,4.4247,0.07616028101607404,Low
BzzAgent,MA,acquired,0,2,14500000,2,16,1,0,0,1,3.0,5.0027,0.06910561623268775,Low
Hammerhead Systems,CA,closed,1,2,48000000,0,2,1,0,0,0,4.0849,5.5836,0.654835692131584,Medium
ThermalTherapeuticSystems,PA,closed,1,2,3508462,0,3,1,1,1,0,3.5041,5.4438,0.7279631344840815,High
GuardianEdge Technologies,CA,acquired,0,3,19500000,1,10,1,0,1,1,3.4301,5.5589,0.09790302615819646,Low
Gradient X,CA,acquired,0,1,3750000,3,5,1,0,0,0,0.4685,0.4685,0.18739702058955732,Low
ezzai - how to arabia,IL,closed,1,1,45000000,0,1,0,0,0,0,0.0,0.0,0.8226256931994012,High
rPath,NC,closed,1,4,32500000,3,8,1,0,1,1,0.8164,5.5616,0.41002557169275056,Medium
Boomi,PA,acquired,0,2,4900000,5,4,1,0,0,1,1.8384,8.3397,0.25938461337877594,Low
VoloMedia,CA,closed,1,2,12000000,3,4,1,0,0,1,2.2986,3.2110000000000003,0.3504982363368308,Medium
Flixster,CA,acquired,0,3,7175000,6,12,1,0,1,1,0.0329,2.2055,0.0489436524366338,Low
Wesabe,CA,closed,1,2,4700000,4,3,1,0,1,0,1.1699,1.4986,0.43414682963172546,Medium
OfferLounge,CA,closed,1,1,120000,0,3,0,0,0,0,0.0,0.0,0.9162664562304803,High
NeoEdge Networks,CA,acquired,0,3,10000000,2,10,0,1,0,1,5.1041,8.6411,0.21488581648724217,Low
SemiSouth Laboratories,TX,closed,1,4,39000000,0,0,0,1,1,0,4.9562,10.3151,0.7027688517860401,High
Camiant,MA,acquired,0,2,16100000,0,3,1,0,0,1,2.2411,4.0301,0.2824827109348858,Low
NuConomy,CA,acquired,0,2,3300000,3,4,1,0,1,0,1.2466,2.0849,0.14485013354850984,Low
Flowtown,CA,acquired,0,1,750000,3,6,1,0,0,0,1.5616,1.5616,0.22158134778103403,Low
GlobalCrypto,GA,closed,1,2,1000000,0,0,0,1,0,0,2.4493,2.4493,0.859824566566408,High
Bioenvision,NY,closed,1,1,7410000,0,3,1,1,0,0,11.3342,11.3342,0.8079564422258351,High
Teranetics,CA,acquired,0,3,52800000,0,5,1,1,0,0,6.8932,10.4082,0.5257548229130745,Medium
WebVisible,CA,closed,1,3,37000000,4,33,1,0,1,1,4.6685,9.1178,0.26761193449162685,Low
GoodGuide,CA,acquired,0,3,14229998,3,14,1,0,1,1,1.137,3.737,0.0489885365313865,Low
ViVu,CA,acquired,0,2,3000000,2,7,1,0,1,1,0.7205,2.4356,0.11566745873668213,Low
avVenta,NY,acquired,0,1,20000000,1,10,0,0,1,0,4.0384,4.0384,0.19667673089173354,Low
DiJiPOP,RI,acquired,0,2,2000000,3,6,1,0,0,0,0.7479,2.0959,0.21085083990406397,Low
Layer 7 Technologies,DC,acquired,0,2,19900000,2,3,1,1,0,1,3.8192,6.0932,0.2171476625219278,Low
DeliveryEdge,CA,closed,1,1,1500000,1,6,0,0,0,0,1.2493,1.2493,0.4925078413200324,Medium
Solmentum,CA,closed,1,1,325000,1,4,0,0,0,0,0.0,0.0,0.8013836226652867,High
Pipewise,CA,closed,1,1,3500000,2,16,1,0,1,0,0.463,0.463,0.4034294566305242,Medium
GridNetworks,WA,closed,1,4,30000000,2,7,1,0,1,1,2.0027,4.3863,0.3547200164085251,Medium
MAP Pharmaceuticals,CA,acquired,0,1,50000000,0,1,1,0,0,0,4.2384,4.2384,0.47810008771685975,Medium
"ORCA, Inc.",NY,acquired,0,1,2000000,2,5,1,0,1,0,1.4712,1.4712,0.19601710039415912,Low
Amobee,CA,acquired,0,6,72000000,2,25,1,1,1,1,1.5041,5.8356,0.16586714419003729,Low
KOTURA,CA,acquired,0,3,27690547,1,4,1,0,0,1,1.6849,5.8493,0.11771152282578401,Low
Auvitek International,TX,closed,1,1,9000000,0,32,1,0,0,1,2.189,2.189,0.5606289527516195,Medium
Outright,CA,acquired,0,2,7500000,3,12,1,0,1,0,0.4192,1.4658,0.0741612883410104,Low
Phurnace Software,TX,acquired,0,2,10000000,1,9,1,0,1,0,0.6932,1.4986,0.29033225116190486,Low
FastSoft,CA,acquired,0,4,5965000,1,7,0,1,1,0,1.4411,6.6795,0.2332150214424342,Low
GrandCentral,CA,acquired,0,1,4000000,4,9,0,0,1,0,-0.2466,-0.2466,0.4118798983169569,Medium
Speedshape,MI,closed,1,1,5000000,1,2,0,1,0,0,5.1397,5.1397,0.7598310842815712,High
BlueLithium,CA,acquired,0,1,11500000,2,15,1,0,1,0,1.0877,1.0877,0.14752748516222533,Low
Media Chaperone,IL,closed,1,2,1050000,1,2,0,1,0,0,1.0356,2.1479,0.7956368270902968,High
Giant Realm,NY,acquired,0,2,5500000,2,13,1,0,1,0,1.1644,1.3507,0.09905655191732667,Low
Invite Media,PA,acquired,0,3,5000000,4,17,1,0,1,0,0.8301,2.8329,0.09874263992516673,Low
UpMo,CA,closed,1,2,3700000,3,11,0,1,0,0,-1.0521,0.6247,0.41886269689750666,Medium
Appscio,CA,closed,1,2,7000000,0,4,0,0,1,0,1.2137,3.0082,0.47387202382880333,Medium
Eons,MA,closed,1,2,32000000,4,14,1,0,1,1,1.2466,2.1616,0.13881619657226915,Low
LocaModa,MA,acquired,0,3,7900000,2,8,0,0,1,0,0.7123,4.2301,0.24289529190444578,Low
Meraki,CA,acquired,0,5,80000000,3,16,1,0,1,1,0.6685,6.2795,0.0790324612358896,Low
MPOWER Mobile,TX,closed,1,1,5000000,1,1,1,1,0,0,4.8247,4.8247,0.707294963148769,High
Haute Secure,WA,acquired,0,2,2100000,3,5,1,0,1,0,1.0,3.1863,0.20403089247057157,Low
Intelliworks,MD,acquired,0,4,22250000,1,6,1,0,1,1,0.2055,4.3973,0.13502843500066522,Low
Meridian,OR,acquired,0,2,1975000,2,6,0,1,0,0,0.5397,1.5014,0.3099490932299867,Low
